,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
B6_raw_B,0.0,0.001,-0.001,0.001,0.0,0.0,73539.0,35802.0,1.0
log_gamma_mu,-2.564,0.183,-2.917,-2.225,0.008,0.004,516.0,1989.0,1.02
gamma_raw[0],-0.921,0.29,-1.481,-0.399,0.021,0.007,189.0,504.0,1.05
gamma_raw[1],1.085,0.281,0.567,1.62,0.009,0.006,1001.0,3161.0,1.01
gamma_raw[2],-2.768,0.467,-3.642,-1.987,0.042,0.021,131.0,233.0,1.07
gamma_raw[3],1.017,0.302,0.478,1.572,0.01,0.002,1113.0,4550.0,1.01
gamma_raw[4],0.956,0.316,0.389,1.55,0.009,0.002,1366.0,14726.0,1.01
gamma_raw[5],0.848,0.37,0.187,1.524,0.008,0.003,2080.0,49068.0,1.01
gamma_raw[6],-0.091,1.106,-2.133,1.478,0.102,0.037,151.0,612.0,1.06
g_factor_scaled,77.047,0.077,76.899,77.19,0.0,0.0,66618.0,93423.0,1.0
a_raw_B,7.352,0.087,7.187,7.514,0.002,0.0,1729.0,49934.0,1.01
B4_raw_B,0.003,0.004,0.0,0.009,0.0,0.0,642.0,27548.0,1.02
eps_bg_scaled,235.22,0.231,234.773,235.623,0.001,0.0,68248.0,81740.0,1.0
log_gamma_sd,0.751,0.096,0.575,0.928,0.008,0.003,128.0,317.0,1.07
a_scale_scaled,74.994,0.89,73.31,76.647,0.021,0.002,1729.0,49934.0,1.01
B4_scaled,4.837,6.045,0.037,14.345,0.158,0.045,642.0,27548.0,1.02
B6_scaled,0.051,13.562,-24.857,26.049,0.05,0.196,73571.0,35802.0,1.0
gamma_vec[0],0.039,0.001,0.037,0.041,0.0,0.0,2444.0,48517.0,1.01
gamma_vec[1],0.172,0.008,0.158,0.187,0.0,0.0,49488.0,30494.0,1.0
gamma_vec[2],0.01,0.004,0.009,0.011,0.0,0.001,2906.0,36464.0,1.01
gamma_vec[3],0.164,0.014,0.138,0.189,0.0,0.0,5511.0,65079.0,1.0
gamma_vec[4],0.158,0.019,0.123,0.194,0.0,0.0,47420.0,55648.0,1.0
gamma_vec[5],0.147,0.028,0.096,0.2,0.0,0.0,17646.0,76733.0,1.0
gamma_vec[6],0.096,0.063,0.009,0.194,0.005,0.0,144.0,585.0,1.06
gamma_vec_scaled[0],3.909,0.111,3.694,4.1,0.002,0.0,2444.0,48517.0,1.01
gamma_vec_scaled[1],17.212,0.794,15.756,18.745,0.004,0.002,49488.0,30494.0,1.0
gamma_vec_scaled[2],1.009,0.41,0.926,1.069,0.002,0.057,2906.0,36464.0,1.01
gamma_vec_scaled[3],16.415,1.441,13.756,18.945,0.026,0.016,5511.0,65079.0,1.0
gamma_vec_scaled[4],15.753,1.931,12.322,19.424,0.009,0.017,47420.0,55648.0,1.0
gamma_vec_scaled[5],14.731,2.814,9.644,19.998,0.015,0.01,17646.0,76733.0,1.0
gamma_vec_scaled[6],9.563,6.24,0.949,19.359,0.513,0.038,144.0,585.0,1.06
gamma_1_scaled,3.909,0.111,3.694,4.1,0.002,0.0,2444.0,48517.0,1.01
gamma_2_scaled,17.212,0.794,15.756,18.745,0.004,0.002,49488.0,30494.0,1.0
gamma_3_scaled,1.009,0.41,0.926,1.069,0.002,0.057,2906.0,36464.0,1.01
gamma_4_scaled,16.415,1.441,13.756,18.945,0.026,0.016,5511.0,65079.0,1.0
gamma_5_scaled,15.753,1.931,12.322,19.424,0.009,0.017,47420.0,55648.0,1.0
gamma_6_scaled,14.731,2.814,9.644,19.998,0.015,0.01,17646.0,76733.0,1.0
gamma_7_scaled,9.563,6.24,0.949,19.359,0.513,0.038,144.0,585.0,1.06
gamma_mean_scaled,7.83,1.439,5.257,10.586,0.061,0.027,516.0,1989.0,1.02
gamma_std_scaled,75.102,9.557,57.472,92.849,0.836,0.259,128.0,317.0,1.07
