,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
B6_raw_H,-0.0,0.001,-0.001,0.001,0.0,0.0,30747.0,33062.0,1.0
log_gamma_mu,-3.088,0.253,-3.568,-2.617,0.002,0.001,16831.0,17058.0,1.0
gamma_raw[0],-0.666,0.255,-1.147,-0.185,0.002,0.001,18883.0,26370.0,1.0
gamma_raw[1],1.142,0.294,0.61,1.69,0.003,0.002,7189.0,7610.0,1.01
gamma_raw[2],1.122,0.294,0.6,1.684,0.003,0.001,7901.0,11052.0,1.01
gamma_raw[3],1.119,0.3,0.581,1.686,0.003,0.002,8572.0,9511.0,1.01
gamma_raw[4],-1.401,0.322,-2.011,-0.814,0.003,0.002,12363.0,15390.0,1.0
gamma_raw[5],-1.613,0.388,-2.325,-0.917,0.004,0.005,16270.0,11440.0,1.0
gamma_raw[6],-1.793,0.579,-2.911,-0.817,0.004,0.004,22482.0,18536.0,1.0
g_factor_scaled,72.564,0.09,72.396,72.729,0.001,0.001,21861.0,18795.0,1.0
a_raw_H,8.694,0.077,8.554,8.839,0.001,0.001,19744.0,21118.0,1.0
B4_raw_H,0.01,0.021,0.0,0.043,0.0,0.0,23183.0,28838.0,1.0
eps_bg_scaled,234.627,0.147,234.358,234.907,0.001,0.001,30046.0,26945.0,1.0
log_gamma_sd,1.038,0.12,0.817,1.263,0.006,0.001,388.0,1990.0,1.01
a_scale_scaled,88.684,0.784,87.248,90.16,0.006,0.007,19744.0,21118.0,1.0
B4_scaled,14.981,21.966,0.074,72.455,0.156,0.168,22901.0,28838.0,1.0
B6_scaled,-0.057,13.366,-26.537,23.614,0.076,0.05,30744.0,33062.0,1.0
gamma_vec[0],0.023,0.001,0.022,0.024,0.0,0.0,29696.0,23679.0,1.0
gamma_vec[1],0.147,0.007,0.133,0.16,0.0,0.0,31200.0,23337.0,1.0
gamma_vec[2],0.144,0.01,0.125,0.163,0.0,0.0,30592.0,22144.0,1.0
gamma_vec[3],0.144,0.013,0.118,0.168,0.0,0.0,30708.0,26432.0,1.0
gamma_vec[4],0.011,0.001,0.008,0.014,0.0,0.0,24504.0,19669.0,1.0
gamma_vec[5],0.009,0.002,0.006,0.013,0.0,0.0,17723.0,11412.0,1.0
gamma_vec[6],0.009,0.01,0.001,0.015,0.0,0.0,24966.0,18579.0,1.0
gamma_vec_scaled[0],2.3,0.054,2.202,2.402,0.0,0.0,29696.0,23679.0,1.0
gamma_vec_scaled[1],14.663,0.71,13.327,15.987,0.004,0.003,31200.0,23337.0,1.0
gamma_vec_scaled[2],14.387,0.991,12.532,16.257,0.006,0.004,30592.0,22144.0,1.0
gamma_vec_scaled[3],14.365,1.328,11.844,16.813,0.008,0.005,30708.0,26432.0,1.0
gamma_vec_scaled[4],1.095,0.148,0.829,1.365,0.001,0.001,24504.0,19669.0,1.0
gamma_vec_scaled[5],0.902,0.197,0.5,1.231,0.001,0.001,20674.0,11412.0,1.0
gamma_vec_scaled[6],0.902,1.021,0.5,1.498,0.006,0.044,28142.0,27459.0,1.0
gamma_1_scaled,2.3,0.054,2.202,2.402,0.0,0.0,29696.0,23679.0,1.0
gamma_2_scaled,14.663,0.71,13.327,15.987,0.004,0.003,31200.0,23337.0,1.0
gamma_3_scaled,14.387,0.991,12.532,16.257,0.006,0.004,30592.0,22144.0,1.0
gamma_4_scaled,14.365,1.328,11.844,16.813,0.008,0.005,30708.0,26432.0,1.0
gamma_5_scaled,1.095,0.148,0.829,1.365,0.001,0.001,24504.0,19669.0,1.0
gamma_6_scaled,0.902,0.197,0.5,1.231,0.001,0.001,20674.0,11412.0,1.0
gamma_7_scaled,0.902,1.021,0.5,1.498,0.006,0.044,28142.0,27459.0,1.0
gamma_mean_scaled,4.709,1.206,2.54,6.885,0.009,0.007,16831.0,17058.0,1.0
gamma_std_scaled,103.784,11.961,81.685,126.263,0.613,0.087,388.0,1990.0,1.01
