,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
B6_raw_B,-0.0,0.001,-0.001,0.001,0.0,0.0,98818.0,99320.0,1.0
log_gamma_mu,-2.588,0.192,-2.949,-2.227,0.011,0.001,336.0,1288.0,1.03
gamma_raw[0],-0.878,0.287,-1.422,-0.356,0.013,0.001,454.0,5011.0,1.02
gamma_raw[1],1.109,0.293,0.565,1.669,0.016,0.003,346.0,909.0,1.03
gamma_raw[2],-2.71,0.429,-3.535,-1.97,0.018,0.002,530.0,1100.0,1.02
gamma_raw[3],1.045,0.302,0.488,1.626,0.015,0.002,392.0,1070.0,1.02
gamma_raw[4],0.983,0.316,0.398,1.584,0.015,0.001,452.0,1770.0,1.02
gamma_raw[5],0.877,0.378,0.214,1.589,0.013,0.002,690.0,9752.0,1.01
gamma_raw[6],-0.146,1.132,-2.154,1.478,0.044,0.02,1169.0,3926.0,1.02
g_factor_scaled,77.047,0.076,76.9,77.187,0.0,0.0,115073.0,122089.0,1.0
a_raw_B,7.352,0.087,7.188,7.515,0.0,0.0,66989.0,106502.0,1.0
B4_raw_B,0.003,0.004,0.0,0.009,0.0,0.0,79458.0,111160.0,1.0
eps_bg_scaled,235.223,0.23,234.786,235.637,0.001,0.0,92531.0,92466.0,1.0
log_gamma_sd,0.757,0.092,0.588,0.924,0.004,0.002,462.0,616.0,1.02
a_scale_scaled,74.986,0.888,73.321,76.653,0.003,0.002,66989.0,106502.0,1.0
B4_scaled,4.793,6.091,0.043,14.238,0.019,0.045,79428.0,111160.0,1.0
B6_scaled,-0.004,13.233,-25.043,24.385,0.042,0.028,98806.0,99320.0,1.0
gamma_vec[0],0.039,0.001,0.037,0.041,0.0,0.0,70379.0,82195.0,1.0
gamma_vec[1],0.172,0.008,0.157,0.187,0.0,0.0,107522.0,107736.0,1.0
gamma_vec[2],0.01,0.0,0.009,0.011,0.0,0.0,106299.0,113057.0,1.0
gamma_vec[3],0.165,0.014,0.139,0.191,0.0,0.0,100133.0,90408.0,1.0
gamma_vec[4],0.158,0.019,0.123,0.193,0.0,0.0,98342.0,79205.0,1.0
gamma_vec[5],0.148,0.028,0.098,0.201,0.0,0.0,97286.0,109922.0,1.0
gamma_vec[6],0.092,0.064,0.01,0.193,0.003,0.0,600.0,9427.0,1.02
gamma_vec_scaled[0],3.913,0.11,3.703,4.108,0.0,0.0,70379.0,82195.0,1.0
gamma_vec_scaled[1],17.221,0.79,15.741,18.703,0.002,0.002,107522.0,107736.0,1.0
gamma_vec_scaled[2],0.998,0.038,0.928,1.069,0.0,0.0,106299.0,113057.0,1.0
gamma_vec_scaled[3],16.452,1.369,13.934,19.065,0.004,0.003,100133.0,90408.0,1.0
gamma_vec_scaled[4],15.775,1.874,12.304,19.31,0.006,0.004,98342.0,79205.0,1.0
gamma_vec_scaled[5],14.759,2.814,9.777,20.112,0.009,0.008,97286.0,109922.0,1.0
gamma_vec_scaled[6],9.224,6.327,0.957,19.347,0.255,0.012,600.0,9427.0,1.02
gamma_1_scaled,3.913,0.11,3.703,4.108,0.0,0.0,70379.0,82195.0,1.0
gamma_2_scaled,17.221,0.79,15.741,18.703,0.002,0.002,107522.0,107736.0,1.0
gamma_3_scaled,0.998,0.038,0.928,1.069,0.0,0.0,106299.0,113057.0,1.0
gamma_4_scaled,16.452,1.369,13.934,19.065,0.004,0.003,100133.0,90408.0,1.0
gamma_5_scaled,15.775,1.874,12.304,19.31,0.006,0.004,98342.0,79205.0,1.0
gamma_6_scaled,14.759,2.814,9.777,20.112,0.009,0.008,97286.0,109922.0,1.0
gamma_7_scaled,9.224,6.327,0.957,19.347,0.255,0.012,600.0,9427.0,1.02
gamma_mean_scaled,7.658,1.489,5.047,10.503,0.083,0.019,336.0,1288.0,1.03
gamma_std_scaled,75.673,9.189,58.756,92.445,0.437,0.204,462.0,616.0,1.02
