label,B,T,pop_ground,pop_1st_excited,energy_gap_meV,chi_max,chi_mean,rmse,status,warnings
4K,9.0,4.0,1.0,2.60000147267347e-61,48.08547057275398,1.0966630469637857,0.16373615367284927,0.11658600977364063,⚠️ 問題あり,基底状態支配的(>95%); H-form |χ|高(>0.8)
10K,9.0,10.0,1.0,5.83430914559041e-25,48.08547057275398,1.0439735371982781,0.13964303521309515,0.11221808128982916,⚠️ 問題あり,基底状態支配的(>95%); H-form |χ|高(>0.8)
20K,9.0,20.0,0.9999999999992362,7.638264950616401e-13,48.08547057275398,0.7817067453110674,0.098406126075322,0.10826808027774773,⚠️ 問題あり,基底状態支配的(>95%)
30K,9.0,30.0,0.9999999916440375,8.355962370815573e-09,48.08547057275398,0.6156199688819167,0.0742930044538356,0.1179392265087967,⚠️ 問題あり,基底状態支配的(>95%)
4.2T,4.2,1.5,1.0,4.803627008847608e-76,22.417186218969892,0.47907652616789137,0.05195234754936671,0.15687986528459633,⚠️ 問題あり,基底状態支配的(>95%); フィット失敗(RMSE=0.157)
5.0T,5.0,1.5,,0.0,26.69529299896186,0.8112525593542288,0.07144340605981589,0.14563947915848446,⚠️ 問題あり,H-form |χ|高(>0.8)
6.0T,6.0,1.5,,0.0,32.042876372693776,1.052888112479298,0.10617905620094728,0.12877926398856143,⚠️ 問題あり,H-form |χ|高(>0.8)
7.0T,7.0,1.5,,,37.39042633739733,1.049731032801041,0.13327740209213984,0.1116516951737107,⚠️ 問題あり,H-form |χ|高(>0.8)
8.0T,8.0,1.5,,,42.73795541754088,1.0484150564284611,0.15113593127083189,0.11725204924184676,⚠️ 問題あり,H-form |χ|高(>0.8)
9.0T,9.0,1.5,,,48.08547057275398,1.0436483479104626,0.18600939303808203,0.12492488166451644,⚠️ 問題あり,H-form |χ|高(>0.8)
