label,B,T,rmse,max_error,r_squared,chi_max,chi_mean,unstable_%
4K,9.0,4.0,0.11658600977364063,0.22359727443619493,0.7213966139940933,1.0966630469637857,0.16373615367284927,0.0
10K,9.0,10.0,0.11221808128982916,0.2457907235973916,0.7465349335532475,1.0439735371982781,0.13964303521309515,0.0
20K,9.0,20.0,0.10826808027774773,0.22537201348004599,0.7174952451780183,0.7817067453110674,0.098406126075322,0.0
30K,9.0,30.0,0.1179392265087967,0.2900393670995939,0.6517246120380427,0.6156199688819167,0.0742930044538356,0.0
4.2T,4.2,1.5,0.15687986528459633,0.36401134303859506,0.4858884384141775,0.47907652616789137,0.05195234754936671,0.0
5.0T,5.0,1.5,0.14563947915848446,0.3304751675414493,0.5400995676859184,0.8112525593542288,0.07144340605981589,0.0
6.0T,6.0,1.5,0.12877926398856143,0.24754181967916455,0.6760892315179593,1.052888112479298,0.10617905620094728,0.0
7.0T,7.0,1.5,0.1116516951737107,0.22091967999625461,0.7487835325073109,1.049731032801041,0.13327740209213984,0.0
8.0T,8.0,1.5,0.11725204924184676,0.2291230014125253,0.7589448858944406,1.0484150564284611,0.15113593127083189,0.0
9.0T,9.0,1.5,0.12492488166451644,0.3606926737834433,0.7051561163854184,1.0436483479104626,0.18600939303808203,0.0
